seed,structure_test_accuracy,structure_test_macro_f1,structure_dev_macro_f1,style_test_rhetorical_macro_f1,style_test_agency_macro_f1
13,0.7474747474747475,0.6000481000481,0.6263257012587967,0.8211545487760321,0.5149911816578484
42,0.8061224489795918,0.674893772893773,0.560762679055362,0.8195870940968979,0.4400527009222661
87,0.6632653061224489,0.4811451988871343,0.6755209235209235,0.7038159371492705,0.5468684321143338
123,0.7474747474747475,0.5150732127476314,0.506012506012506,0.8077357425183512,0.6929510155316607
202,0.7346938775510204,0.5701847629328546,0.670239623448866,0.7008654958989584,0.8625867686641167
